base_id,condition,dataset,model_a,model_b,dimension,user_id,n_annotations,prefer_model_a,prefer_model_b,tie,majority_preference,ndcg_winner,cov_winner,aligns_ndcg,aligns_cov,pairwise_agreement
amazon_cds__lightgcn_only_vs_fixed__diversity__u2105__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,2105,5,2,0,3,TIE,lightgcn_only,fixed,False,False,0.4
amazon_cds__lightgcn_only_vs_fixed__diversity__u5338__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,5338,5,4,1,0,lightgcn_only,lightgcn_only,fixed,True,False,0.6
amazon_cds__lightgcn_only_vs_fixed__diversity__u906__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,906,5,0,3,2,fixed,lightgcn_only,fixed,False,True,0.4
amazon_cds__lightgcn_only_vs_fixed__diversity__u965__pair,local_only,amazon_cds,lightgcn_only,fixed,diversity,965,5,3,2,0,lightgcn_only,lightgcn_only,fixed,True,False,0.4
amazon_cds__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,amazon_cds,lightgcn_only,fixed,global_diversity,,5,0,5,0,fixed,lightgcn_only,fixed,False,True,1.0
mind__gbaf_vs_fixed__diversity__u23211__pair,local_only,mind,gbaf,fixed,diversity,23211,5,0,4,1,fixed,gbaf,fixed,False,True,0.6
mind__gbaf_vs_fixed__diversity__u28130__pair,local_only,mind,gbaf,fixed,diversity,28130,5,5,0,0,gbaf,gbaf,fixed,True,False,1.0
mind__gbaf_vs_fixed__diversity__u29787__pair,local_only,mind,gbaf,fixed,diversity,29787,5,4,0,1,gbaf,gbaf,fixed,True,False,0.6
mind__gbaf_vs_fixed__diversity__u34804__pair,local_only,mind,gbaf,fixed,diversity,34804,5,0,4,1,fixed,gbaf,fixed,False,True,0.6
mind__gbaf_vs_fixed__diversity__u35942__pair,local_only,mind,gbaf,fixed,diversity,35942,5,4,0,1,gbaf,gbaf,fixed,True,False,0.6
mind__gbaf_vs_fixed__diversity__u40271__pair,local_only,mind,gbaf,fixed,diversity,40271,5,3,0,2,gbaf,gbaf,fixed,True,False,0.4
mind__gbaf_vs_fixed__diversity__u42678__pair,local_only,mind,gbaf,fixed,diversity,42678,5,1,4,0,fixed,gbaf,fixed,False,True,0.6
mind__gbaf_vs_fixed__diversity__u44378__pair,local_only,mind,gbaf,fixed,diversity,44378,5,1,4,0,fixed,gbaf,fixed,False,True,0.6
mind__gbaf_vs_fixed__diversity__u5744__pair,local_only,mind,gbaf,fixed,diversity,5744,5,0,4,1,fixed,gbaf,fixed,False,True,0.6
mind__gbaf_vs_fixed__diversity__u7434__pair,local_only,mind,gbaf,fixed,diversity,7434,5,1,4,0,fixed,gbaf,fixed,False,True,0.6
mind__gbaf_vs_fixed__global_diversity__pair,global_stats,mind,gbaf,fixed,global_diversity,,5,0,5,0,fixed,gbaf,fixed,False,True,1.0
mind__lightgcn_only_vs_fixed__diversity__u23211__pair,local_only,mind,lightgcn_only,fixed,diversity,23211,5,0,4,1,fixed,lightgcn_only,fixed,False,True,0.6
mind__lightgcn_only_vs_fixed__diversity__u28130__pair,local_only,mind,lightgcn_only,fixed,diversity,28130,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
mind__lightgcn_only_vs_fixed__diversity__u29787__pair,local_only,mind,lightgcn_only,fixed,diversity,29787,5,4,0,1,lightgcn_only,lightgcn_only,fixed,True,False,0.6
mind__lightgcn_only_vs_fixed__diversity__u34804__pair,local_only,mind,lightgcn_only,fixed,diversity,34804,5,0,5,0,fixed,lightgcn_only,fixed,False,True,1.0
mind__lightgcn_only_vs_fixed__diversity__u35942__pair,local_only,mind,lightgcn_only,fixed,diversity,35942,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
mind__lightgcn_only_vs_fixed__diversity__u40271__pair,local_only,mind,lightgcn_only,fixed,diversity,40271,5,4,0,1,lightgcn_only,lightgcn_only,fixed,True,False,0.6
mind__lightgcn_only_vs_fixed__diversity__u42678__pair,local_only,mind,lightgcn_only,fixed,diversity,42678,5,4,1,0,lightgcn_only,lightgcn_only,fixed,True,False,0.6
mind__lightgcn_only_vs_fixed__diversity__u44378__pair,local_only,mind,lightgcn_only,fixed,diversity,44378,5,3,1,1,lightgcn_only,lightgcn_only,fixed,True,False,0.3
mind__lightgcn_only_vs_fixed__diversity__u5744__pair,local_only,mind,lightgcn_only,fixed,diversity,5744,5,1,4,0,fixed,lightgcn_only,fixed,False,True,0.6
mind__lightgcn_only_vs_fixed__diversity__u7434__pair,local_only,mind,lightgcn_only,fixed,diversity,7434,5,0,3,2,fixed,lightgcn_only,fixed,False,True,0.4
mind__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,mind,lightgcn_only,fixed,global_diversity,,5,0,5,0,fixed,lightgcn_only,fixed,False,True,1.0
yelp__gbaf_vs_concat_mlp__diversity__u18392__pair,local_only,yelp,gbaf,concat_mlp,diversity,18392,5,5,0,0,gbaf,gbaf,concat_mlp,True,False,1.0
yelp__gbaf_vs_concat_mlp__diversity__u18930__pair,local_only,yelp,gbaf,concat_mlp,diversity,18930,5,0,5,0,concat_mlp,gbaf,concat_mlp,False,True,1.0
yelp__gbaf_vs_concat_mlp__diversity__u19308__pair,local_only,yelp,gbaf,concat_mlp,diversity,19308,5,5,0,0,gbaf,gbaf,concat_mlp,True,False,1.0
yelp__gbaf_vs_concat_mlp__diversity__u24594__pair,local_only,yelp,gbaf,concat_mlp,diversity,24594,5,5,0,0,gbaf,gbaf,concat_mlp,True,False,1.0
yelp__gbaf_vs_concat_mlp__diversity__u2600__pair,local_only,yelp,gbaf,concat_mlp,diversity,2600,5,1,4,0,concat_mlp,gbaf,concat_mlp,False,True,0.6
yelp__gbaf_vs_concat_mlp__diversity__u33987__pair,local_only,yelp,gbaf,concat_mlp,diversity,33987,5,0,1,4,TIE,gbaf,concat_mlp,False,False,0.6
yelp__gbaf_vs_concat_mlp__diversity__u362__pair,local_only,yelp,gbaf,concat_mlp,diversity,362,5,5,0,0,gbaf,gbaf,concat_mlp,True,False,1.0
yelp__gbaf_vs_concat_mlp__diversity__u47111__pair,local_only,yelp,gbaf,concat_mlp,diversity,47111,5,4,1,0,gbaf,gbaf,concat_mlp,True,False,0.6
yelp__gbaf_vs_concat_mlp__diversity__u78602__pair,local_only,yelp,gbaf,concat_mlp,diversity,78602,5,4,0,1,gbaf,gbaf,concat_mlp,True,False,0.6
yelp__gbaf_vs_concat_mlp__diversity__u81116__pair,local_only,yelp,gbaf,concat_mlp,diversity,81116,5,1,4,0,concat_mlp,gbaf,concat_mlp,False,True,0.6
yelp__gbaf_vs_concat_mlp__global_diversity__pair,global_stats,yelp,gbaf,concat_mlp,global_diversity,,5,0,5,0,concat_mlp,gbaf,concat_mlp,False,True,1.0
yelp__lightgcn_only_vs_fixed__diversity__u18392__pair,local_only,yelp,lightgcn_only,fixed,diversity,18392,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u18930__pair,local_only,yelp,lightgcn_only,fixed,diversity,18930,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u19308__pair,local_only,yelp,lightgcn_only,fixed,diversity,19308,5,0,5,0,fixed,lightgcn_only,fixed,False,True,1.0
yelp__lightgcn_only_vs_fixed__diversity__u24594__pair,local_only,yelp,lightgcn_only,fixed,diversity,24594,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u2600__pair,local_only,yelp,lightgcn_only,fixed,diversity,2600,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u33987__pair,local_only,yelp,lightgcn_only,fixed,diversity,33987,5,0,0,5,TIE,lightgcn_only,fixed,False,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u362__pair,local_only,yelp,lightgcn_only,fixed,diversity,362,5,4,0,1,lightgcn_only,lightgcn_only,fixed,True,False,0.6
yelp__lightgcn_only_vs_fixed__diversity__u47111__pair,local_only,yelp,lightgcn_only,fixed,diversity,47111,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u78602__pair,local_only,yelp,lightgcn_only,fixed,diversity,78602,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__diversity__u81116__pair,local_only,yelp,lightgcn_only,fixed,diversity,81116,5,5,0,0,lightgcn_only,lightgcn_only,fixed,True,False,1.0
yelp__lightgcn_only_vs_fixed__global_diversity__pair,global_stats,yelp,lightgcn_only,fixed,global_diversity,,5,0,5,0,fixed,lightgcn_only,fixed,False,True,1.0
