dataset,model_a,model_b,dimension,user_id,effective_preference,ndcg_winner,coverage_winner,align_ndcg,align_coverage,is_conflict,local_text_distance_a,local_text_distance_b,local_text_distance_winner,align_local_text_distance,delta_local_text_distance_chosen_minus_other,local_category_count_a,local_category_count_b,local_category_count_winner,align_local_category_count,delta_local_category_count_chosen_minus_other,local_category_entropy_a,local_category_entropy_b,local_category_entropy_winner,align_local_category_entropy,delta_local_category_entropy_chosen_minus_other,description_length_a,description_length_b,description_length_winner,align_description_length,delta_description_length_chosen_minus_other,history_similarity_a,history_similarity_b,history_similarity_winner,align_history_similarity,delta_history_similarity_chosen_minus_other,average_popularity_a,average_popularity_b,average_popularity_winner,align_average_popularity,delta_average_popularity_chosen_minus_other
amazon_books,gbaf,concat_mlp,diversity,11974,gbaf,gbaf,concat_mlp,1,0,True,0.9816933189200936,0.9763485121944298,gbaf,1,0.005344806725663842,,,NA,,,,,NA,,,81.8,3.7,gbaf,1.0,78.1,0.007545614611171898,0.023445712516070895,concat_mlp,0,-0.015900097904898998,2.783861033944974,2.5687872753467316,gbaf,1,0.2150737585982423
amazon_books,gbaf,concat_mlp,diversity,4457,concat_mlp,gbaf,concat_mlp,0,1,True,0.8760682374844316,0.9501055304222669,concat_mlp,1,0.07403729293783523,,,NA,,,,,NA,,,59.1,89.7,concat_mlp,1.0,30.6,0.1076586400768909,0.014133896029909943,gbaf,0,-0.09352474404698095,4.722053141457183,5.05277671682614,concat_mlp,1,0.3307235753689577
amazon_books,gbaf,concat_mlp,diversity,5237,concat_mlp,gbaf,concat_mlp,0,1,True,0.9845826495141352,0.9946654487103727,concat_mlp,1,0.010082799196237446,,,NA,,,,,NA,,,35.8,62.4,concat_mlp,1.0,26.6,0.009949093797752669,0.016050480511218358,concat_mlp,1,0.00610138671346569,4.108810408763262,3.2285352288842817,gbaf,0,-0.8802751798789807
amazon_books,gbaf,concat_mlp,diversity,1754,gbaf,gbaf,concat_mlp,1,0,True,0.9718490704617675,0.9601852968385698,gbaf,1,0.011663773623197704,,,NA,,,,,NA,,,86.6,79.6,gbaf,1.0,7.0,0.0278296604833731,0.02055637941028034,gbaf,1,0.0072732810730927605,2.8038496413451472,2.777370301896186,gbaf,1,0.02647933944896108
amazon_books,gbaf,concat_mlp,diversity,11577,gbaf,gbaf,concat_mlp,1,0,True,0.9770861875730964,0.9615660800656244,gbaf,1,0.015520107507472014,,,NA,,,,,NA,,,268.9,204.6,gbaf,1.0,64.29999999999998,0.01814471381490037,0.01383699026375571,gbaf,1,0.004307723551144659,3.465294199480296,4.374592140931488,concat_mlp,0,-0.9092979414511917
amazon_books,gbaf,concat_mlp,diversity,900,gbaf,gbaf,concat_mlp,1,0,True,0.9800659177169307,0.9888266292066406,concat_mlp,0,-0.008760711489709805,,,NA,,,,,NA,,,86.1,53.0,gbaf,1.0,33.099999999999994,0.03833056312557425,0.0397835870995735,concat_mlp,0,-0.001453023973999247,3.362616792314938,3.1502151679980117,gbaf,1,0.21240162431692644
amazon_books,gbaf,concat_mlp,diversity,1322,gbaf,gbaf,concat_mlp,1,0,True,0.9879678798392076,0.9950776422193605,concat_mlp,0,-0.007109762380152818,,,NA,,,,,NA,,,185.5,112.1,gbaf,1.0,73.4,0.014941715715495376,0.01028073665361857,gbaf,1,0.004660979061876807,2.8234878734084026,2.5121228810918645,gbaf,1,0.311364992316538
amazon_books,gbaf,concat_mlp,diversity,1866,gbaf,gbaf,concat_mlp,1,0,True,0.9012123086175214,0.9795728197998922,concat_mlp,0,-0.07836051118237075,,,NA,,,,,NA,,,66.4,63.6,gbaf,1.0,2.8000000000000043,0.047044088826308325,0.014651933660621867,gbaf,1,0.032392155165686456,2.9233955100563636,3.1546536569892423,concat_mlp,0,-0.23125814693287872
amazon_books,gbaf,concat_mlp,diversity,10368,gbaf,gbaf,concat_mlp,1,0,True,0.9742458224773597,0.9945138253759932,concat_mlp,0,-0.020268002898633508,,,NA,,,,,NA,,,71.3,37.0,gbaf,1.0,34.3,0.022044853022594547,0.014313197065554516,gbaf,1,0.007731655957040031,3.1135113916592836,3.5599216862281224,concat_mlp,0,-0.44641029456883885
amazon_books,gbaf,concat_mlp,diversity,9111,gbaf,gbaf,concat_mlp,1,0,True,0.968263113332968,0.9849938301020834,concat_mlp,0,-0.016730716769115417,,,NA,,,,,NA,,,242.2,276.5,concat_mlp,0.0,-34.30000000000001,0.02197970585602448,0.014973511947752793,gbaf,1,0.007006193908271686,3.537562484513683,2.965103205951183,gbaf,1,0.5724592785625
amazon_books,gbaf,concat_mlp,novelty,7688,concat_mlp,gbaf,concat_mlp,0,1,True,0.96737191338794,0.9618584360815464,gbaf,0,-0.0055134773063936215,,,NA,,,,,NA,,,134.0,115.7,gbaf,0.0,-18.299999999999997,0.026257274490528365,0.028704839984990765,concat_mlp,1,0.0024475654944624003,3.1607499055299755,4.0956369001374675,concat_mlp,1,0.934886994607492
amazon_books,gbaf,concat_mlp,novelty,11974,gbaf,gbaf,concat_mlp,1,0,True,0.9816933189200936,0.9763485121944298,gbaf,1,0.005344806725663842,,,NA,,,,,NA,,,81.8,3.7,gbaf,1.0,78.1,0.007545614611171898,0.023445712516070895,concat_mlp,0,-0.015900097904898998,2.783861033944974,2.5687872753467316,gbaf,1,0.2150737585982423
amazon_books,gbaf,concat_mlp,novelty,4457,concat_mlp,gbaf,concat_mlp,0,1,True,0.8760682374844316,0.9501055304222669,concat_mlp,1,0.07403729293783523,,,NA,,,,,NA,,,59.1,89.7,concat_mlp,1.0,30.6,0.1076586400768909,0.014133896029909943,gbaf,0,-0.09352474404698095,4.722053141457183,5.05277671682614,concat_mlp,1,0.3307235753689577
amazon_books,gbaf,concat_mlp,novelty,5237,concat_mlp,gbaf,concat_mlp,0,1,True,0.9845826495141352,0.9946654487103727,concat_mlp,1,0.010082799196237446,,,NA,,,,,NA,,,35.8,62.4,concat_mlp,1.0,26.6,0.009949093797752669,0.016050480511218358,concat_mlp,1,0.00610138671346569,4.108810408763262,3.2285352288842817,gbaf,0,-0.8802751798789807
amazon_books,gbaf,concat_mlp,novelty,1754,gbaf,gbaf,concat_mlp,1,0,True,0.9718490704617675,0.9601852968385698,gbaf,1,0.011663773623197704,,,NA,,,,,NA,,,86.6,79.6,gbaf,1.0,7.0,0.0278296604833731,0.02055637941028034,gbaf,1,0.0072732810730927605,2.8038496413451472,2.777370301896186,gbaf,1,0.02647933944896108
amazon_books,gbaf,concat_mlp,novelty,12090,concat_mlp,gbaf,concat_mlp,0,1,True,0.8800324846105901,0.9779064945176947,concat_mlp,1,0.0978740099071046,,,NA,,,,,NA,,,66.5,122.4,concat_mlp,1.0,55.900000000000006,0.15781557746939945,0.05195288846832642,gbaf,0,-0.10586268900107303,3.5332508039671318,4.06716993474423,concat_mlp,1,0.5339191307770985
amazon_books,gbaf,concat_mlp,novelty,5044,concat_mlp,gbaf,concat_mlp,0,1,True,0.7498833644318401,0.9646058373512053,concat_mlp,1,0.2147224729193652,,,NA,,,,,NA,,,81.1,89.9,concat_mlp,1.0,8.800000000000011,0.10434306258414275,0.045887902175340625,gbaf,0,-0.05845516040880212,3.794002741032313,3.6850521293273957,gbaf,0,-0.10895061170491749
amazon_books,gbaf,concat_mlp,novelty,11577,gbaf,gbaf,concat_mlp,1,0,True,0.9770861875730964,0.9615660800656244,gbaf,1,0.015520107507472014,,,NA,,,,,NA,,,268.9,204.6,gbaf,1.0,64.29999999999998,0.01814471381490037,0.01383699026375571,gbaf,1,0.004307723551144659,3.465294199480296,4.374592140931488,concat_mlp,0,-0.9092979414511917
amazon_books,gbaf,concat_mlp,novelty,9664,concat_mlp,gbaf,concat_mlp,0,1,True,0.9280146580699954,0.9916276838359686,concat_mlp,1,0.06361302576597316,,,NA,,,,,NA,,,54.9,90.5,concat_mlp,1.0,35.6,0.03878468797821793,0.008513592552748786,gbaf,0,-0.030271095425469144,4.114997791150855,3.441995449407669,gbaf,0,-0.6730023417431856
amazon_books,gbaf,concat_mlp,novelty,11455,concat_mlp,gbaf,concat_mlp,0,1,True,0.9605727374623336,0.9935924560517747,concat_mlp,1,0.03301971858944108,,,NA,,,,,NA,,,88.4,206.4,concat_mlp,1.0,118.0,0.018691131383277083,0.009680454498239965,gbaf,0,-0.009010676885037119,3.4724198932879284,3.196749436950466,gbaf,0,-0.27567045633746234
amazon_books,gbaf,concat_mlp,novelty,5158,concat_mlp,gbaf,concat_mlp,0,1,True,0.9654203746969481,0.935737786980799,gbaf,0,-0.029682587716149067,,,NA,,,,,NA,,,61.6,31.2,gbaf,0.0,-30.400000000000002,0.009920354358260774,0.06630980556500264,concat_mlp,1,0.05638945120674187,3.6228942707065483,3.4163404070554635,gbaf,0,-0.20655386365108486
amazon_books,gbaf,concat_mlp,novelty,900,gbaf,gbaf,concat_mlp,1,0,True,0.9800659177169307,0.9888266292066406,concat_mlp,0,-0.008760711489709805,,,NA,,,,,NA,,,86.1,53.0,gbaf,1.0,33.099999999999994,0.03833056312557425,0.0397835870995735,concat_mlp,0,-0.001453023973999247,3.362616792314938,3.1502151679980117,gbaf,1,0.21240162431692644
amazon_books,gbaf,concat_mlp,novelty,1322,gbaf,gbaf,concat_mlp,1,0,True,0.9879678798392076,0.9950776422193605,concat_mlp,0,-0.007109762380152818,,,NA,,,,,NA,,,185.5,112.1,gbaf,1.0,73.4,0.014941715715495376,0.01028073665361857,gbaf,1,0.004660979061876807,2.8234878734084026,2.5121228810918645,gbaf,1,0.311364992316538
amazon_books,gbaf,concat_mlp,novelty,1866,gbaf,gbaf,concat_mlp,1,0,True,0.9012123086175214,0.9795728197998922,concat_mlp,0,-0.07836051118237075,,,NA,,,,,NA,,,66.4,63.6,gbaf,1.0,2.8000000000000043,0.047044088826308325,0.014651933660621867,gbaf,1,0.032392155165686456,2.9233955100563636,3.1546536569892423,concat_mlp,0,-0.23125814693287872
amazon_books,gbaf,concat_mlp,novelty,10368,gbaf,gbaf,concat_mlp,1,0,True,0.9742458224773597,0.9945138253759932,concat_mlp,0,-0.020268002898633508,,,NA,,,,,NA,,,71.3,37.0,gbaf,1.0,34.3,0.022044853022594547,0.014313197065554516,gbaf,1,0.007731655957040031,3.1135113916592836,3.5599216862281224,concat_mlp,0,-0.44641029456883885
amazon_books,gbaf,concat_mlp,novelty,8680,concat_mlp,gbaf,concat_mlp,0,1,True,0.9032178400995011,0.9804135810341078,concat_mlp,1,0.07719574093460668,,,NA,,,,,NA,,,233.3,146.2,gbaf,0.0,-87.10000000000002,0.09847517268444296,0.021994721850926293,gbaf,0,-0.07648045083351666,4.486045158152754,4.9542945913820065,concat_mlp,1,0.4682494332292526
amazon_books,gbaf,concat_mlp,novelty,552,concat_mlp,gbaf,concat_mlp,0,1,True,0.9675511065461113,0.967666352637314,concat_mlp,1,0.00011524609120272533,,,NA,,,,,NA,,,161.8,93.9,gbaf,0.0,-67.9,0.0166879505777054,0.015071886087891156,gbaf,0,-0.0016160644898142451,4.958196758513294,4.9793273418178545,concat_mlp,1,0.021130583304560524
amazon_books,gbaf,concat_mlp,novelty,10324,gbaf,gbaf,concat_mlp,1,0,True,0.9774303540363425,0.8681625703763789,gbaf,1,0.10926778365996359,,,NA,,,,,NA,,,214.3,203.6,gbaf,1.0,10.700000000000017,0.01932408830699455,0.014484521438085898,gbaf,1,0.004839566868908653,3.998687485988321,4.271528206079626,concat_mlp,0,-0.2728407200913052
amazon_books,gbaf,concat_mlp,novelty,6638,concat_mlp,gbaf,concat_mlp,0,1,True,0.9872445030556851,0.9890855207187426,concat_mlp,1,0.0018410176630574426,,,NA,,,,,NA,,,179.6,378.9,concat_mlp,1.0,199.29999999999998,0.015427039826844579,0.014620607218103149,gbaf,0,-0.0008064326087414298,2.951481307921301,2.856465576742348,gbaf,0,-0.09501573117895301
amazon_books,gbaf,concat_mlp,novelty,1804,gbaf,gbaf,concat_mlp,1,0,True,0.9617826000622505,0.975469096652272,concat_mlp,0,-0.013686496590021524,,,NA,,,,,NA,,,187.5,141.5,gbaf,1.0,46.0,0.027131060726357143,0.025150141938944735,gbaf,1,0.0019809187874124078,3.4313916113112386,3.888597042259768,concat_mlp,0,-0.4572054309485294
amazon_books,gbaf,concat_mlp,novelty,8679,gbaf,gbaf,concat_mlp,1,0,True,0.971108757034261,0.978651590275822,concat_mlp,0,-0.00754283324156102,,,NA,,,,,NA,,,124.0,116.0,gbaf,1.0,8.0,0.020320758046860905,0.013925270067607543,gbaf,1,0.0063954879792533625,3.192876217000409,3.095580455796725,gbaf,1,0.097295761203684
amazon_books,gbaf,concat_mlp,novelty,2553,concat_mlp,gbaf,concat_mlp,0,1,True,0.9697716404782513,0.9778631096011252,concat_mlp,1,0.008091469122873951,,,NA,,,,,NA,,,265.1,146.0,gbaf,0.0,-119.10000000000002,0.02723117544273451,0.020365807826876067,gbaf,0,-0.006865367615858441,2.945601642153302,3.8755014043620113,concat_mlp,1,0.9298997622087093
amazon_books,gbaf,concat_mlp,novelty,12068,concat_mlp,gbaf,concat_mlp,0,1,True,0.9487154557317458,0.9856823325679311,concat_mlp,1,0.03696687683618538,,,NA,,,,,NA,,,250.5,100.0,gbaf,0.0,-150.5,0.024181230474485536,0.01231075106427772,gbaf,0,-0.011870479410207815,3.1103089681665184,2.9795201850341404,gbaf,0,-0.13078878313237796
amazon_books,gbaf,concat_mlp,relevance,4270,concat_mlp,gbaf,concat_mlp,0,1,True,0.9513682706519543,0.9669251256188878,concat_mlp,1,0.015556854966933487,,,NA,,,,,NA,,,244.2,159.3,gbaf,0.0,-84.89999999999998,0.02745732692942312,0.02068491251671236,gbaf,0,-0.006772414412710759,3.0606672023374304,3.030810471024285,gbaf,0,-0.029856731313145257
amazon_books,gbaf,concat_mlp,relevance,1937,gbaf,gbaf,concat_mlp,1,0,True,0.9882019741078724,0.9980140681439773,concat_mlp,0,-0.009812094036104946,,,NA,,,,,NA,,,102.6,50.7,gbaf,1.0,51.89999999999999,0.008912530406345851,0.007387176665255808,gbaf,1,0.0015253537410900428,3.8859188229673167,3.271641574919296,gbaf,1,0.6142772480480208
amazon_books,gbaf,concat_mlp,relevance,11974,gbaf,gbaf,concat_mlp,1,0,True,0.9816933189200936,0.9763485121944298,gbaf,1,0.005344806725663842,,,NA,,,,,NA,,,81.8,3.7,gbaf,1.0,78.1,0.007545614611171898,0.023445712516070895,concat_mlp,0,-0.015900097904898998,2.783861033944974,2.5687872753467316,gbaf,1,0.2150737585982423
amazon_books,gbaf,concat_mlp,relevance,10134,gbaf,gbaf,concat_mlp,1,0,True,0.9735501753461221,0.9853293970644534,concat_mlp,0,-0.011779221718331345,,,NA,,,,,NA,,,278.0,292.7,concat_mlp,0.0,-14.699999999999989,0.028463591908857132,0.021119756183520022,gbaf,1,0.00734383572533711,3.677718072522797,3.5491470842700488,gbaf,1,0.12857098825274837
amazon_books,gbaf,concat_mlp,relevance,1754,concat_mlp,gbaf,concat_mlp,0,1,True,0.9718490704617675,0.9601852968385698,gbaf,0,-0.011663773623197704,,,NA,,,,,NA,,,86.6,79.6,gbaf,0.0,-7.0,0.0278296604833731,0.02055637941028034,gbaf,0,-0.0072732810730927605,2.8038496413451472,2.777370301896186,gbaf,0,-0.02647933944896108
amazon_books,gbaf,concat_mlp,relevance,4611,gbaf,gbaf,concat_mlp,1,0,True,0.974471017506809,0.9833866952224041,concat_mlp,0,-0.008915677715595094,,,NA,,,,,NA,,,513.5,357.2,gbaf,1.0,156.3,0.020672629815677974,0.015068591339076471,gbaf,1,0.0056040384766015035,4.281036605015977,4.228960533896851,gbaf,1,0.052076071119126155
amazon_books,gbaf,concat_mlp,relevance,12090,gbaf,gbaf,concat_mlp,1,0,True,0.8800324846105901,0.9779064945176947,concat_mlp,0,-0.0978740099071046,,,NA,,,,,NA,,,66.5,122.4,concat_mlp,0.0,-55.900000000000006,0.15781557746939945,0.05195288846832642,gbaf,1,0.10586268900107303,3.5332508039671318,4.06716993474423,concat_mlp,0,-0.5339191307770985
amazon_books,gbaf,concat_mlp,relevance,5044,gbaf,gbaf,concat_mlp,1,0,True,0.7498833644318401,0.9646058373512053,concat_mlp,0,-0.2147224729193652,,,NA,,,,,NA,,,81.1,89.9,concat_mlp,0.0,-8.800000000000011,0.10434306258414275,0.045887902175340625,gbaf,1,0.05845516040880212,3.794002741032313,3.6850521293273957,gbaf,1,0.10895061170491749
amazon_books,gbaf,concat_mlp,relevance,9664,gbaf,gbaf,concat_mlp,1,0,True,0.9280146580699954,0.9916276838359686,concat_mlp,0,-0.06361302576597316,,,NA,,,,,NA,,,54.9,90.5,concat_mlp,0.0,-35.6,0.03878468797821793,0.008513592552748786,gbaf,1,0.030271095425469144,4.114997791150855,3.441995449407669,gbaf,1,0.6730023417431856
amazon_books,gbaf,concat_mlp,relevance,11455,gbaf,gbaf,concat_mlp,1,0,True,0.9605727374623336,0.9935924560517747,concat_mlp,0,-0.03301971858944108,,,NA,,,,,NA,,,88.4,206.4,concat_mlp,0.0,-118.0,0.018691131383277083,0.009680454498239965,gbaf,1,0.009010676885037119,3.4724198932879284,3.196749436950466,gbaf,1,0.27567045633746234
amazon_books,gbaf,concat_mlp,relevance,6885,gbaf,gbaf,concat_mlp,1,0,True,0.9797697668864939,0.9880137771863347,concat_mlp,0,-0.008244010299840787,,,NA,,,,,NA,,,101.0,122.9,concat_mlp,0.0,-21.900000000000006,0.02118394900686741,0.016181284488923357,gbaf,1,0.005002664517944053,3.374828170390839,3.3700061892718707,gbaf,1,0.004821981118968477
amazon_books,gbaf,concat_mlp,relevance,1322,gbaf,gbaf,concat_mlp,1,0,True,0.9879678798392076,0.9950776422193605,concat_mlp,0,-0.007109762380152818,,,NA,,,,,NA,,,185.5,112.1,gbaf,1.0,73.4,0.014941715715495376,0.01028073665361857,gbaf,1,0.004660979061876807,2.8234878734084026,2.5121228810918645,gbaf,1,0.311364992316538
amazon_books,gbaf,concat_mlp,relevance,1866,gbaf,gbaf,concat_mlp,1,0,True,0.9012123086175214,0.9795728197998922,concat_mlp,0,-0.07836051118237075,,,NA,,,,,NA,,,66.4,63.6,gbaf,1.0,2.8000000000000043,0.047044088826308325,0.014651933660621867,gbaf,1,0.032392155165686456,2.9233955100563636,3.1546536569892423,concat_mlp,0,-0.23125814693287872
amazon_books,gbaf,concat_mlp,relevance,10368,gbaf,gbaf,concat_mlp,1,0,True,0.9742458224773597,0.9945138253759932,concat_mlp,0,-0.020268002898633508,,,NA,,,,,NA,,,71.3,37.0,gbaf,1.0,34.3,0.022044853022594547,0.014313197065554516,gbaf,1,0.007731655957040031,3.1135113916592836,3.5599216862281224,concat_mlp,0,-0.44641029456883885
amazon_books,gbaf,concat_mlp,relevance,8680,gbaf,gbaf,concat_mlp,1,0,True,0.9032178400995011,0.9804135810341078,concat_mlp,0,-0.07719574093460668,,,NA,,,,,NA,,,233.3,146.2,gbaf,1.0,87.10000000000002,0.09847517268444296,0.021994721850926293,gbaf,1,0.07648045083351666,4.486045158152754,4.9542945913820065,concat_mlp,0,-0.4682494332292526
amazon_books,gbaf,concat_mlp,relevance,3864,concat_mlp,gbaf,concat_mlp,0,1,True,0.9447608608611788,0.9587626239307694,concat_mlp,1,0.014001763069590556,,,NA,,,,,NA,,,52.5,77.6,concat_mlp,1.0,25.099999999999994,0.028960402576144316,0.009200775883227737,gbaf,0,-0.01975962669291658,3.4107609869249487,3.948940753376474,concat_mlp,1,0.5381797664515253
amazon_books,gbaf,concat_mlp,relevance,9111,gbaf,gbaf,concat_mlp,1,0,True,0.968263113332968,0.9849938301020834,concat_mlp,0,-0.016730716769115417,,,NA,,,,,NA,,,242.2,276.5,concat_mlp,0.0,-34.30000000000001,0.02197970585602448,0.014973511947752793,gbaf,1,0.007006193908271686,3.537562484513683,2.965103205951183,gbaf,1,0.5724592785625
amazon_books,gbaf,concat_mlp,relevance,4263,gbaf,gbaf,concat_mlp,1,0,True,0.9176924325435261,0.9737731417933679,concat_mlp,0,-0.056080709249841876,,,NA,,,,,NA,,,931.2,502.6,gbaf,1.0,428.6,0.04306714587818915,0.018885504841414488,gbaf,1,0.02418164103677466,4.239680976078844,5.026556299661344,concat_mlp,0,-0.7868753235824997
